category,value,country_code,substitution,metric
China,27.893650104865955,chn,presub,rate
China,27.893650104865955,chn,postsub,rate
China,13.62,chn,presub,import_share
China,8.183553761841369,chn,postsub,import_share
China,3.7991151442827427,chn,presub,contribution
China,2.2826918524716264,chn,postsub,contribution
Canada,13.106900944644142,ca,presub,rate
Canada,13.106900944644142,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,16.589418987908342,ca,postsub,import_share
Canada,1.6554015893085552,ca,presub,contribution
Canada,2.174358714037133,ca,postsub,contribution
Mexico,10.588552949892842,mx,presub,rate
Mexico,10.588552949892842,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,18.848531552735164,mx,postsub,import_share
Mexico,1.6392138821729108,mx,presub,contribution
Mexico,1.9957867437386223,mx,postsub,contribution
Rest of World,15.032303993898765,row,presub,rate
Rest of World,15.032303993898765,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,56.37849569751513,row,postsub,import_share
Rest of World,8.759173214204871,row,presub,contribution
Rest of World,8.47498686043761,row,postsub,contribution
Total,15.85290382996908,total,presub,rate
Total,14.927824170684993,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,15.85290382996908,total,presub,contribution
Total,14.927824170684993,total,postsub,contribution
