year,series,value
1946,historical,9.9
1947,historical,7.55
1948,historical,5.71
1949,historical,5.53
1950,historical,5.97
1951,historical,5.47
1952,historical,5.3
1953,historical,5.42
1954,historical,5.17
1955,historical,5.59
1956,historical,5.67
1957,historical,5.76
1958,historical,6.44
1959,historical,7.02
1960,historical,7.4
1961,historical,7.21
1962,historical,7.5
1963,historical,7.29
1964,historical,7.2
1965,historical,7.72
1966,historical,7.57
1967,historical,7.54
1968,historical,7.08
1969,historical,7.11
1970,historical,6.5
1971,historical,6.08
1972,historical,5.65
1973,historical,5.24
1974,historical,3.77
1975,historical,3.92
1976,historical,3.86
1977,historical,3.73
1978,historical,4.14
1979,historical,3.5
1980,historical,3.09
1981,historical,3.43
1982,historical,3.437
1983,historical,3.333
1984,historical,3.54
1985,historical,3.542
1986,historical,3.701
1987,historical,3.723
1988,historical,3.624
1989,historical,3.543
1990,historical,3.28
1991,historical,3.232
1992,historical,3.238
1993,historical,3.218
1994,historical,3.035
1995,historical,2.468
1996,historical,2.232
1997,historical,2.069
1998,historical,1.975
1999,historical,1.781
2000,historical,1.59
2001,historical,1.65
2002,historical,1.556
2003,historical,1.547
2004,historical,1.438
2005,historical,1.375
2006,historical,1.312
2007,historical,1.345
2008,historical,1.273
2009,historical,1.353
2010,historical,1.374
2011,historical,1.337
2012,historical,1.338
2013,historical,1.421
2014,historical,1.436
2015,historical,1.529
2016,historical,1.552
2017,historical,1.486
2018,historical,1.941
2019,historical,2.944
2020,historical,2.845
2021,historical,3.011
2022,historical,3.005
2023,historical,2.487
2024,historical,2.418
1790,current_average,22.438661141351545
1791,current_average,22.438661141351545
1792,current_average,22.438661141351545
1793,current_average,22.438661141351545
1794,current_average,22.438661141351545
1795,current_average,22.438661141351545
1796,current_average,22.438661141351545
1797,current_average,22.438661141351545
1798,current_average,22.438661141351545
1799,current_average,22.438661141351545
1800,current_average,22.438661141351545
1801,current_average,22.438661141351545
1802,current_average,22.438661141351545
1803,current_average,22.438661141351545
1804,current_average,22.438661141351545
1805,current_average,22.438661141351545
1806,current_average,22.438661141351545
1807,current_average,22.438661141351545
1808,current_average,22.438661141351545
1809,current_average,22.438661141351545
1810,current_average,22.438661141351545
1811,current_average,22.438661141351545
1812,current_average,22.438661141351545
1813,current_average,22.438661141351545
1814,current_average,22.438661141351545
1815,current_average,22.438661141351545
1816,current_average,22.438661141351545
1817,current_average,22.438661141351545
1818,current_average,22.438661141351545
1819,current_average,22.438661141351545
1820,current_average,22.438661141351545
1821,current_average,22.438661141351545
1822,current_average,22.438661141351545
1823,current_average,22.438661141351545
1824,current_average,22.438661141351545
1825,current_average,22.438661141351545
1826,current_average,22.438661141351545
1827,current_average,22.438661141351545
1828,current_average,22.438661141351545
1829,current_average,22.438661141351545
1830,current_average,22.438661141351545
1831,current_average,22.438661141351545
1832,current_average,22.438661141351545
1833,current_average,22.438661141351545
1834,current_average,22.438661141351545
1835,current_average,22.438661141351545
1836,current_average,22.438661141351545
1837,current_average,22.438661141351545
1838,current_average,22.438661141351545
1839,current_average,22.438661141351545
1840,current_average,22.438661141351545
1841,current_average,22.438661141351545
1842,current_average,22.438661141351545
1843,current_average,22.438661141351545
1844,current_average,22.438661141351545
1845,current_average,22.438661141351545
1846,current_average,22.438661141351545
1847,current_average,22.438661141351545
1848,current_average,22.438661141351545
1849,current_average,22.438661141351545
1850,current_average,22.438661141351545
1851,current_average,22.438661141351545
1852,current_average,22.438661141351545
1853,current_average,22.438661141351545
1854,current_average,22.438661141351545
1855,current_average,22.438661141351545
1856,current_average,22.438661141351545
1857,current_average,22.438661141351545
1858,current_average,22.438661141351545
1859,current_average,22.438661141351545
1860,current_average,22.438661141351545
1861,current_average,22.438661141351545
1862,current_average,22.438661141351545
1863,current_average,22.438661141351545
1864,current_average,22.438661141351545
1865,current_average,22.438661141351545
1866,current_average,22.438661141351545
1867,current_average,22.438661141351545
1868,current_average,22.438661141351545
1869,current_average,22.438661141351545
1870,current_average,22.438661141351545
1871,current_average,22.438661141351545
1872,current_average,22.438661141351545
1873,current_average,22.438661141351545
1874,current_average,22.438661141351545
1875,current_average,22.438661141351545
1876,current_average,22.438661141351545
1877,current_average,22.438661141351545
1878,current_average,22.438661141351545
1879,current_average,22.438661141351545
1880,current_average,22.438661141351545
1881,current_average,22.438661141351545
1882,current_average,22.438661141351545
1883,current_average,22.438661141351545
1884,current_average,22.438661141351545
1885,current_average,22.438661141351545
1886,current_average,22.438661141351545
1887,current_average,22.438661141351545
1888,current_average,22.438661141351545
1889,current_average,22.438661141351545
1890,current_average,22.438661141351545
1891,current_average,22.438661141351545
1892,current_average,22.438661141351545
1893,current_average,22.438661141351545
1894,current_average,22.438661141351545
1895,current_average,22.438661141351545
1896,current_average,22.438661141351545
1897,current_average,22.438661141351545
1898,current_average,22.438661141351545
1899,current_average,22.438661141351545
1900,current_average,22.438661141351545
1901,current_average,22.438661141351545
1902,current_average,22.438661141351545
1903,current_average,22.438661141351545
1904,current_average,22.438661141351545
1905,current_average,22.438661141351545
1906,current_average,22.438661141351545
1907,current_average,22.438661141351545
1908,current_average,22.438661141351545
1909,current_average,22.438661141351545
1910,current_average,22.438661141351545
1911,current_average,22.438661141351545
1912,current_average,22.438661141351545
1913,current_average,22.438661141351545
1914,current_average,22.438661141351545
1915,current_average,22.438661141351545
1916,current_average,22.438661141351545
1917,current_average,22.438661141351545
1918,current_average,22.438661141351545
1919,current_average,22.438661141351545
1920,current_average,22.438661141351545
1921,current_average,22.438661141351545
1922,current_average,22.438661141351545
1923,current_average,22.438661141351545
1924,current_average,22.438661141351545
1925,current_average,22.438661141351545
1926,current_average,22.438661141351545
1927,current_average,22.438661141351545
1928,current_average,22.438661141351545
1929,current_average,22.438661141351545
1930,current_average,22.438661141351545
1931,current_average,22.438661141351545
1932,current_average,22.438661141351545
1933,current_average,22.438661141351545
1934,current_average,22.438661141351545
1935,current_average,22.438661141351545
1936,current_average,22.438661141351545
1937,current_average,22.438661141351545
1938,current_average,22.438661141351545
1939,current_average,22.438661141351545
1940,current_average,22.438661141351545
1941,current_average,22.438661141351545
1942,current_average,22.438661141351545
1943,current_average,22.438661141351545
1944,current_average,22.438661141351545
1945,current_average,22.438661141351545
1946,current_average,22.438661141351545
1947,current_average,22.438661141351545
1948,current_average,22.438661141351545
1949,current_average,22.438661141351545
1950,current_average,22.438661141351545
1951,current_average,22.438661141351545
1952,current_average,22.438661141351545
1953,current_average,22.438661141351545
1954,current_average,22.438661141351545
1955,current_average,22.438661141351545
1956,current_average,22.438661141351545
1957,current_average,22.438661141351545
1958,current_average,22.438661141351545
1959,current_average,22.438661141351545
1960,current_average,22.438661141351545
1961,current_average,22.438661141351545
1962,current_average,22.438661141351545
1963,current_average,22.438661141351545
1964,current_average,22.438661141351545
1965,current_average,22.438661141351545
1966,current_average,22.438661141351545
1967,current_average,22.438661141351545
1968,current_average,22.438661141351545
1969,current_average,22.438661141351545
1970,current_average,22.438661141351545
1971,current_average,22.438661141351545
1972,current_average,22.438661141351545
1973,current_average,22.438661141351545
1974,current_average,22.438661141351545
1975,current_average,22.438661141351545
1976,current_average,22.438661141351545
1977,current_average,22.438661141351545
1978,current_average,22.438661141351545
1979,current_average,22.438661141351545
1980,current_average,22.438661141351545
1981,current_average,22.438661141351545
1982,current_average,22.438661141351545
1983,current_average,22.438661141351545
1984,current_average,22.438661141351545
1985,current_average,22.438661141351545
1986,current_average,22.438661141351545
1987,current_average,22.438661141351545
1988,current_average,22.438661141351545
1989,current_average,22.438661141351545
1990,current_average,22.438661141351545
1991,current_average,22.438661141351545
1992,current_average,22.438661141351545
1993,current_average,22.438661141351545
1994,current_average,22.438661141351545
1995,current_average,22.438661141351545
1996,current_average,22.438661141351545
1997,current_average,22.438661141351545
1998,current_average,22.438661141351545
1999,current_average,22.438661141351545
2000,current_average,22.438661141351545
2001,current_average,22.438661141351545
2002,current_average,22.438661141351545
2003,current_average,22.438661141351545
2004,current_average,22.438661141351545
2005,current_average,22.438661141351545
2006,current_average,22.438661141351545
2007,current_average,22.438661141351545
2008,current_average,22.438661141351545
2009,current_average,22.438661141351545
2010,current_average,22.438661141351545
2011,current_average,22.438661141351545
2012,current_average,22.438661141351545
2013,current_average,22.438661141351545
2014,current_average,22.438661141351545
2015,current_average,22.438661141351545
2016,current_average,22.438661141351545
2017,current_average,22.438661141351545
2018,current_average,22.438661141351545
2019,current_average,22.438661141351545
2020,current_average,22.438661141351545
2021,current_average,22.438661141351545
2022,current_average,22.438661141351545
2023,current_average,22.438661141351545
2024,current_average,22.438661141351545
