category,value,country_code,substitution,metric
China,28.3,chn,presub,rate
China,28.3,chn,postsub,rate
China,14.000000000000002,chn,presub,import_share
China,8.0,chn,postsub,import_share
China,3.9,chn,presub,contribution
China,2.2,chn,postsub,contribution
Canada,11.2,ca,presub,rate
Canada,11.2,ca,postsub,rate
Canada,13.0,ca,presub,import_share
Canada,17.0,ca,postsub,import_share
Canada,1.4,ca,presub,contribution
Canada,1.9,ca,postsub,contribution
Mexico,10.7,mx,presub,rate
Mexico,10.7,mx,postsub,rate
Mexico,15.0,mx,presub,import_share
Mexico,19.0,mx,postsub,import_share
Mexico,1.7,mx,presub,contribution
Mexico,2.0,mx,postsub,contribution
Rest of World,14.1,row,presub,rate
Rest of World,14.1,row,postsub,rate
Rest of World,57.99999999999999,row,presub,import_share
Rest of World,56.99999999999999,row,postsub,import_share
Rest of World,8.2,row,presub,contribution
Rest of World,8.0,row,postsub,contribution
Total,15.2,total,presub,rate
Total,14.1,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,15.2,total,presub,contribution
Total,14.1,total,postsub,contribution
