category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",4.522320967595329,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",4.6087016086986745,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.5787618611712445,pct,price_presub
Household cost,Pre-substitution,-951.0302820406182,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.18255209281501372,pp,gdp_growth_2025
Real GDP,Long-run,-0.06,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.09991025924682617,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-127.25830078125,thousands,payroll_employment_2025
Revenue (10-year),Conventional,686.2536964999383,usd_b,revenue_conventional
Revenue (10-year),Dynamic,585.3146964999383,usd_b,revenue_dynamic
