category,value,country_code,substitution,metric
China,24.0217942370347,chn,presub,rate
China,22.8343321918538,chn,postsub,rate
China,13.3808291343845,chn,presub,import_share
China,8.59305527620079,chn,postsub,import_share
China,3.21431524187103,chn,presub,contribution
China,1.96216678719731,chn,postsub,contribution
Canada,8.12433654149082,ca,presub,rate
Canada,5.31964444086069,ca,postsub,rate
Canada,12.5638177399534,ca,presub,import_share
Canada,15.824627949463599,ca,postsub,import_share
Canada,1.02072683565334,ca,presub,contribution
Canada,0.84181394100053,ca,postsub,contribution
Mexico,12.7801017320835,mx,presub,rate
Mexico,11.1366635695603,mx,postsub,rate
Mexico,15.7378472382499,mx,presub,import_share
Mexico,18.6945208440704,mx,postsub,import_share
Mexico,2.01131288748822,mx,presub,contribution
Mexico,2.08194589234545,mx,postsub,contribution
Rest of World,14.08396381383,row,presub,rate
Rest of World,12.3843542434231,row,postsub,rate
Rest of World,58.3175058874122,row,presub,import_share
Rest of World,56.88779593026509,row,postsub,import_share
Rest of World,8.21341642631129,row,presub,contribution
Rest of World,7.04518616927969,row,postsub,contribution
Total,14.4597713913239,total,presub,rate
Total,11.931112789823,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,14.4597713913239,total,presub,contribution
Total,11.931112789823,total,postsub,contribution
