year,series,value
1790,historical,12.5
1790,current_average_presub,27.99412815312992
1790,current_average_postsub,17.974991087042504
1791,historical,10
1791,current_average_presub,27.99412815312992
1791,current_average_postsub,17.974991087042504
1792,historical,15.63
1792,current_average_presub,27.99412815312992
1792,current_average_postsub,17.974991087042504
1793,historical,22.58
1793,current_average_presub,27.99412815312992
1793,current_average_postsub,17.974991087042504
1794,historical,30
1794,current_average_presub,27.99412815312992
1794,current_average_postsub,17.974991087042504
1795,historical,17.46
1795,current_average_presub,27.99412815312992
1795,current_average_postsub,17.974991087042504
1796,historical,22.81
1796,current_average_presub,27.99412815312992
1796,current_average_postsub,17.974991087042504
1797,historical,24
1797,current_average_presub,27.99412815312992
1797,current_average_postsub,17.974991087042504
1798,historical,31.58
1798,current_average_presub,27.99412815312992
1798,current_average_postsub,17.974991087042504
1799,historical,44.44
1799,current_average_presub,27.99412815312992
1799,current_average_postsub,17.974991087042504
1800,historical,29.63
1800,current_average_presub,27.99412815312992
1800,current_average_postsub,17.974991087042504
1801,historical,29.85
1801,current_average_presub,27.99412815312992
1801,current_average_postsub,17.974991087042504
1802,historical,34.88
1802,current_average_presub,27.99412815312992
1802,current_average_postsub,17.974991087042504
1803,historical,26.92
1803,current_average_presub,27.99412815312992
1803,current_average_postsub,17.974991087042504
1804,historical,41.18
1804,current_average_presub,27.99412815312992
1804,current_average_postsub,17.974991087042504
1805,historical,33.33
1805,current_average_presub,27.99412815312992
1805,current_average_postsub,17.974991087042504
1806,historical,34.21
1806,current_average_presub,27.99412815312992
1806,current_average_postsub,17.974991087042504
1807,historical,31.76
1807,current_average_presub,27.99412815312992
1807,current_average_postsub,17.974991087042504
1808,historical,24.44
1808,current_average_presub,27.99412815312992
1808,current_average_postsub,17.974991087042504
1809,historical,30
1809,current_average_presub,27.99412815312992
1809,current_average_postsub,17.974991087042504
1810,historical,26.15
1810,current_average_presub,27.99412815312992
1810,current_average_postsub,17.974991087042504
1811,historical,23.81
1811,current_average_presub,27.99412815312992
1811,current_average_postsub,17.974991087042504
1812,historical,21.43
1812,current_average_presub,27.99412815312992
1812,current_average_postsub,17.974991087042504
1813,historical,36.84
1813,current_average_presub,27.99412815312992
1813,current_average_postsub,17.974991087042504
1814,historical,30.77
1814,current_average_presub,27.99412815312992
1814,current_average_postsub,17.974991087042504
1815,historical,48.1
1815,current_average_presub,27.99412815312992
1815,current_average_postsub,17.974991087042504
1816,historical,24.63
1816,current_average_presub,27.99412815312992
1816,current_average_postsub,17.974991087042504
1817,historical,26.83
1817,current_average_presub,27.99412815312992
1817,current_average_postsub,17.974991087042504
1818,historical,24.07
1818,current_average_presub,27.99412815312992
1818,current_average_postsub,17.974991087042504
1819,historical,28.38
1819,current_average_presub,27.99412815312992
1819,current_average_postsub,17.974991087042504
1820,historical,29.82
1820,current_average_presub,27.99412815312992
1820,current_average_postsub,17.974991087042504
1821,historical,43.21
1821,current_average_presub,27.99412815312992
1821,current_average_postsub,17.974991087042504
1822,historical,35.23
1822,current_average_presub,27.99412815312992
1822,current_average_postsub,17.974991087042504
1823,historical,43.69
1823,current_average_presub,27.99412815312992
1823,current_average_postsub,17.974991087042504
1824,historical,47.39
1824,current_average_presub,27.99412815312992
1824,current_average_postsub,17.974991087042504
1825,historical,47.72
1825,current_average_presub,27.99412815312992
1825,current_average_postsub,17.974991087042504
1826,historical,45.28
1826,current_average_presub,27.99412815312992
1826,current_average_postsub,17.974991087042504
1827,historical,50.93
1827,current_average_presub,27.99412815312992
1827,current_average_postsub,17.974991087042504
1828,historical,44.74
