category,value,country_code,substitution,metric
China,20.16894191019555,chn,presub,rate
China,20.16894191019555,chn,postsub,rate
China,13.62,chn,presub,import_share
China,12.021156355215329,chn,postsub,import_share
Canada,7.915448938635507,ca,presub,rate
Canada,7.915448938635507,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,14.944092817347663,ca,postsub,import_share
Mexico,10.669856934133422,mx,presub,rate
Mexico,10.669856934133422,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,19.299375866529402,mx,postsub,import_share
Rest of World,17.263699700909857,row,presub,rate
Rest of World,17.263699700909857,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,53.73537496090761,row,postsub,import_share
Total,15.457916819814658,total,presub,rate
Total,14.943361639064968,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
