category,value,country_code,substitution,metric
China,6.65958365252874,chn,presub,rate
China,5.10883993452268,chn,postsub,rate
China,13.3808291343845,chn,presub,import_share
China,12.0375235718181,chn,postsub,import_share
China,0.89110750960627,chn,presub,contribution
China,0.614977811364623,chn,postsub,contribution
Canada,4.53798802549592,ca,presub,rate
Canada,3.00357969224557,ca,postsub,rate
Canada,12.5638177399534,ca,presub,import_share
Canada,13.2864916671169,ca,postsub,import_share
Canada,0.570144544584219,ca,presub,contribution
Canada,0.399070365525424,ca,postsub,contribution
Mexico,8.18059010004945,mx,presub,rate
Mexico,7.34687970969863,mx,postsub,rate
Mexico,15.7378472382499,mx,presub,import_share
Mexico,15.4394351950009,mx,postsub,import_share
Mexico,1.28744877313318,mx,presub,contribution
Mexico,1.13431673163359,mx,postsub,contribution
Rest of World,3.72191276954573,row,presub,rate
Rest of World,3.12833195317653,row,postsub,rate
Rest of World,58.3175058874122,row,presub,import_share
Rest of World,59.2365495660641,row,postsub,import_share
Rest of World,2.17052669850418,row,presub,contribution
Rest of World,1.85311590803444,row,postsub,contribution
Total,4.91922752582785,total,presub,rate
Total,4.00148081655807,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,4.91922752582785,total,presub,contribution
Total,4.00148081655807,total,postsub,contribution
