category,value,country_code,substitution,metric
China,27.79139570514341,chn,presub,rate
China,27.79139570514341,chn,postsub,rate
China,13.62,chn,presub,import_share
China,8.59170994446841,chn,postsub,import_share
Canada,9.240028929827844,ca,presub,rate
Canada,9.240028929827844,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,15.02884333279212,ca,postsub,import_share
Mexico,9.585318670438806,mx,presub,rate
Mexico,9.585318670438806,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,19.151618635254895,mx,postsub,import_share
Rest of World,15.653921264798615,row,presub,rate
Rest of World,15.653921264798615,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,57.227828087484575,row,postsub,import_share
Total,15.557490314033927,total,presub,rate
Total,14.570568407379335,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
