time,series,value,variant
2024Q1,All imports,2.4,fixed
2024Q2,All imports,4.0,fixed
2024Q3,All imports,5.6,fixed
2024Q4,All imports,7.2,fixed
2025Q1,All imports,8.8,fixed
2025Q2,All imports,10.4,fixed
2025Q3,All imports,12.0,fixed
2025Q4,All imports,13.6,fixed
2026Q1,All imports,15.2,fixed
2026Q2,All imports,16.8,fixed
2024Q1,Excluding exemptions,2.0,fixed
2024Q2,Excluding exemptions,3.3,fixed
2024Q3,Excluding exemptions,4.6,fixed
2024Q4,Excluding exemptions,5.9,fixed
2025Q1,Excluding exemptions,7.2,fixed
2025Q2,Excluding exemptions,8.5,fixed
2025Q3,Excluding exemptions,9.8,fixed
2025Q4,Excluding exemptions,11.1,fixed
2026Q1,Excluding exemptions,12.4,fixed
2026Q2,Excluding exemptions,13.7,fixed
2024Q1,All imports,2.4,dynamic
2024Q2,All imports,3.9,dynamic
2024Q3,All imports,5.3,dynamic
2024Q4,All imports,6.8,dynamic
2025Q1,All imports,8.3,dynamic
2025Q2,All imports,9.8,dynamic
2025Q3,All imports,11.2,dynamic
2025Q4,All imports,12.7,dynamic
2026Q1,All imports,14.2,dynamic
2026Q2,All imports,15.6,dynamic
2024Q1,Excluding exemptions,2.0,dynamic
2024Q2,Excluding exemptions,3.2,dynamic
2024Q3,Excluding exemptions,4.4,dynamic
2024Q4,Excluding exemptions,5.6,dynamic
2025Q1,Excluding exemptions,6.8,dynamic
2025Q2,Excluding exemptions,8.0,dynamic
2025Q3,Excluding exemptions,9.2,dynamic
2025Q4,Excluding exemptions,10.4,dynamic
2026Q1,Excluding exemptions,11.6,dynamic
2026Q2,Excluding exemptions,12.8,dynamic
