category,value,country_code,substitution,metric
China,99.40027864169903,chn,presub,rate
China,99.40027864169903,chn,postsub,rate
China,13.62,chn,presub,import_share
China,3.7480700957686484,chn,postsub,import_share
Canada,17.413412504769443,ca,presub,rate
Canada,17.413412504769443,ca,postsub,rate
Canada,12.629999999999999,ca,presub,import_share
Canada,15.518622970181251,ca,postsub,import_share
Mexico,15.078274921608864,mx,presub,rate
Mexico,15.078274921608864,mx,postsub,rate
Mexico,15.481,mx,presub,import_share
Mexico,17.20400396175849,mx,postsub,import_share
Rest of World,11.16949757964774,row,presub,rate
Rest of World,11.16949757964774,row,postsub,rate
Rest of World,58.269000000000005,row,presub,import_share
Rest of World,63.5293029722916,row,postsub,import_share
Total,24.580254235650997,total,presub,rate
Total,16.11788492447341,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
