soc2018,augmentation,automation,total,total_fm,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca
11-1011,2.6553537892843906,2.844646210715609,5.5,12.0,1.3342459999999996,0.5077777777777778,0.3694444444444443,0.4793906799999998,0.4229390599999998,0.155502898114603,2.0259399058489382
11-1021,0.5757587691661414,1.9242412308338586,2.5,3.0,0.5748773,0.4807692307692308,0.3846153846153846,0.29411766,0.11764706,0.1210284326840145,0.5896760890500653
11-1031,0.8389984431759212,1.1610015568240788,2.0,3.0,,0.4,0.5166666666666666,0.0,0.0,0.2689786690737696,
11-2011,3.90200000645212,7.09799999354788,11.0,14.0,1.2943870000000002,0.4767441860465116,0.5465116279069767,0.36666667,0.30000001,0.1954088804120378,1.985380051542477
11-2021,2.832288146597442,4.167711853402558,7.0,9.0,1.3150319999999998,0.5,0.578125,0.4499999899999999,0.3000000099999999,0.189169815798872,2.2378326810778817
11-2022,0.28713117667970134,2.2128688233202984,2.5,5.0,1.2662800000000003,0.45,0.4833333333333333,0.29411766,0.23529412,0.1641752821433747,1.41085355869751
11-2032,3.9461761821300776,4.053823817869922,8.0,9.0,0.0,0.55,0.5750000000000001,0.0,0.0,0.2302471362181954,0.4687782774232677
11-2033,3.9461761821300776,4.053823817869922,8.0,9.0,0.0,0.5625,0.5,0.0,0.0,0.1527027105469781,0.06640269681845229
11-3012,0.0,0.5,0.5,1.0,0.7398277999999999,0.3913043478260869,0.5,0.4205848899999999,0.4205848899999999,0.087051420149971,1.476703182182023
11-3013,2.1149570217374642,8.385042978262536,10.5,14.0,0.0,0.4001623376623376,0.4042207792207792,0.0,0.0,0.0627231309357976,-0.7590419540757831
11-3021,2.1395146418749165,5.860485358125084,8.0,10.0,1.0598530000000002,0.5303030303030303,0.5606060606060607,0.5588235300000001,0.5294117900000002,0.1518935143886481,2.7131443635672245
11-3031,5.708320293870369,15.79167970612963,21.5,28.5,1.4457723604047452,0.4850552306692657,0.4541306971131532,0.4355397433113181,0.2298331315070372,0.1488033543322555,1.6898227913511927
11-3051,0.5454545454545455,0.9545454545454544,1.5,4.5,0.5086877999999999,0.4057187015028995,0.3296039063138119,0.2267624399999999,0.1952962599999999,0.122058975083806,0.3459467302223667
11-3061,0.9956140694995257,5.004385930500474,6.0,6.0,1.423426,0.5857142857142857,0.4714285714285714,0.41666666,0.41666666,0.1054953784861409,2.1162030814820256
11-3071,1.940066801193495,11.559933198806505,13.5,20.0,0.8889897966861529,0.486525974025974,0.4729707792207792,0.4241400295910875,0.3908741190872963,0.2062620339650937,2.0263401723523407
11-3111,4.009322247417486,3.4906777525825143,7.5,8.5,1.2982349999999998,0.513157894736842,0.4605263157894737,0.4166666599999999,0.2708333399999999,0.1413063122763342,1.7223936374146158
11-3121,1.2245860888326063,4.275413911167393,5.5,8.5,1.3204170000000002,0.48,0.45,0.3846153900000001,0.3846153900000001,0.1370417874755325,1.8101630061280027
11-3131,1.11242394444103,2.88757605555897,4.0,4.0,1.284423,0.5,0.4772727272727273,0.5,0.41666666,0.1929281337086295,2.369822468854794
11-9013,3.178075307530753,0.8219246924692469,4.0,7.0,-0.1443683306509944,0.3673469387755101,0.2448979591836734,0.0833332959698827,0.0833332959698827,0.0961190479821949,-0.7603695211541115
11-9021,2.2654088050314463,3.2345911949685533,5.5,6.5,1.029139,0.4444444444444445,0.4,0.18000001,0.14,0.1450059596749093,0.6515675990357298
11-9031,1.066704805491991,3.933295194508009,5.0,8.0,0.8380070000000002,0.46875,0.515625,0.35294119,0.32352942,0.1342715668906963,1.532198227564089
11-9032,3.5894641680440262,3.9105358319559738,7.5,10.5,1.048811,0.4181818181818181,0.4545454545454545,0.40625,0.3125,0.1373058904946956,1.4809718077077854
11-9033,2.548114430077838,1.9518855699221618,4.5,9.5,1.461149,0.4390243902439024,0.475609756097561,0.27586207,0.13793103,0.0963499956506892,0.9754416522001452
11-9039,0.2588235294117647,3.7411764705882353,4.0,6.0,0.0,,,0.0,0.0,,
11-9041,4.305100001029347,2.6948999989706537,7.0,8.0,0.8370104999999999,0.4426108374384236,0.3307881773399014,0.5119047799999998,0.3471177799999999,0.1719918890553441,1.5799061206310838
11-9051,0.48387096774193544,2.5161290322580645,3.0,4.5,-0.1213112,0.4166666666666666,0.3958333333333333,0.19642857,0.14285715,0.1001910093875409,0.006352014141742468
11-9071,0.0,2.0,2.0,3.0,0.8299206999999998,0.5735294117647058,0.4852941176470588,0.1052631599999999,0.1052631599999999,0.1890467284493059,0.9371609750811953
11-9072,,,,,0.0,0.3529411764705882,0.3823529411764705,0.0,0.0,0.2739809554819596,-0.1545469218847978
11-9081,0.7346533739499678,3.2653466260500323,4.0,6.5,0.4021726000000001,0.4565217391304347,0.3804347826086956,0.22916667,0.20833333,0.2084019750926894,0.8402945039983449
11-9111,0.9945293915336333,2.505470608466367,3.5,5.5,1.2602589999999998,0.4285714285714285,0.3714285714285714,0.3055555499999999,0.2777777899999999,0.1632890896536951,1.2441343003516043
11-9121,3.204677611198396,6.795322388801603,10.0,16.5,1.327906,0.5306967984934087,0.4865325432915346,0.43073595,0.4025974,0.1175215751035497,2.0418880030249342
11-9131,0.0,1.0,1.0,1.0,0.8233757000000003,0.5238095238095237,0.4523809523809523,0.4230769300000001,0.23076923,0.109145181347645,1.3500611688371855
11-9141,1.710963443440976,5.789036556559024,7.5,10.0,1.2153959999999997,0.4431818181818182,0.4318181818181818,0.3518518499999999,0.2037036999999999,0.1393378763368064,1.2256436607114816
11-9151,1.0263648183808158,1.973635181619184,3.0,3.0,1.156153,0.3928571428571428,0.4464285714285714,0.375,0.25,0.1558151951411868,1.3335357842488187
11-9161,0.0,0.0,0.0,1.0,1.0307679999999997,0.4222222222222222,0.6,0.5217391299999999,0.5217391299999999,0.200344931661985,2.658805833847322
11-9171,0.29020112327821523,2.209798876721785,2.5,4.5,0.3719018,0.4285714285714285,0.5357142857142857,0.27272728,0.25,0.1661957666237465,1.115741411184538
11-9179,2.7973378808196783,5.202662119180322,8.0,11.0,0.9554810100936546,0.4521221532091096,0.3253105590062111,0.4170355456140716,0.3938764070739389,0.152001606725124,1.4852206962716457
11-9199,4.902652397789549,15.597347602210451,20.5,31.5,0.9645109163442422,0.4912673640410586,0.4654910240471341,0.4209767980725465,0.3975987908708156,0.145778869882199,1.8466468355217134
13-1011,1.7461788907828155,2.2538211092171845,4.0,4.0,1.0685590000000005,0.5434782608695652,0.3695652173913043,0.5357142700000002,0.4285714300000001,0.2688759857688543,2.5027637253040793
13-1021,0.0,2.0,2.0,2.0,0.7687054,0.5277777777777778,0.25,0.29166666,0.20833333,0.0689557374618788,0.4842780949807412
13-1022,0.0,4.0,4.0,5.5,0.8188258000000003,0.4666666666666667,0.4,0.4000000100000001,0.2750000100000001,0.0689557374618788,1.0391666794423575
13-1023,2.0418503674014694,5.958149632598531,8.0,9.0,1.509181,0.4736842105263157,0.3684210526315789,0.4473684099999999,0.4473684099999999,0.0689557374618788,1.716619531749205
13-1031,0.604978354978355,8.895021645021645,9.5,9.5,1.2740233433031782,0.52,0.49,0.4999997422745483,0.3965515255970525,0.2070534121617936,2.437583828479827
13-1032,0.0,0.0,0.0,1.0,0.6634955000000001,0.5,0.5,0.2857143,0.2857143,0.2717524685827721,1.7663980587144206
13-1041,6.488415163627703,12.011584836372297,18.5,20.5,0.6979597995152186,0.5263042749310427,0.5265367802901109,0.391452540721628,0.2604100723564527,0.2003403916846452,1.7800933338300218
13-1051,1.6,1.4000000000000001,3.0,4.0,1.367669,0.5,0.4807692307692308,0.42857143,0.39285713,0.2547360531717686,2.443318984857767
13-1071,6.122808530565296,7.377191469434704,13.5,14.0,1.36005,0.6444444444444445,0.5888888888888889,0.44230768,0.34615386,0.200716339295252,2.6794162593816164
13-1074,,,,,-0.4354025000000002,0.1428571428571428,0.0,0.0,0.0,0.0946610215776333,-2.151099065640257
13-1075,0.0,0.5,0.5,3.5,1.334834,0.5471698113207547,0.4433962264150943,0.58928573,0.5,0.0672593120023154,2.313097254186073
13-1081,4.061372505165703,11.938627494834298,16.0,25.0,1.297303,0.5278605318327264,0.5965664590292197,0.4671391199999999,0.4128380399999999,0.1623173857191718,2.4977159662092476
13-1082,,,,,0.0,0.55,0.4,0.0,0.0,0.1823980418808031,-0.059755511729037425
13-1111,0.9002418964683117,2.0997581035316886,3.0,4.5,1.4324170000000005,0.4047619047619047,0.5,0.4545454700000001,0.4545454700000001,0.3528923037864668,2.8481155492935146
13-1121,1.8647665760278016,4.135233423972198,6.0,6.0,0.3740206999999999,0.4864864864864865,0.3648648648648649,0.4523809599999999,0.3809523899999999,0.1465079327379848,1.418762496639236
13-1131,5.601548273339031,5.398451726660969,11.0,13.0,1.2425670000000002,0.5192307692307693,0.4903846153846154,0.3750000000000001,0.3392857000000001,0.1251943302659937,1.7827500735246538
13-1141,0.5591026775620077,2.9408973224379924,3.5,6.5,1.440985,0.4736842105263157,0.4736842105263157,0.60416669,0.375,0.1671532331445428,2.3918129538282944
13-1151,1.412758784314185,2.587241215685815,4.0,5.0,1.1984090000000005,0.5526315789473684,0.5921052631578947,0.4749999900000001,0.4499999900000001,0.241747642458221,2.867745773108375
13-1161,6.576370444841747,19.92362955515825,26.5,31.0,1.424948045564752,0.5245901639344263,0.5425598991172762,0.4924304154998741,0.4092027320447496,0.3497337016289346,3.128070479328775
13-1199,11.848521168645787,36.15147883135421,48.0,58.0,1.0454407968759267,0.5828407660281357,0.5379899336046262,0.5375351578847162,0.5135196568786976,0.2234710057575466,2.9394699553225627
13-2011,2.692310955268743,8.307689044731257,11.0,13.5,1.4819550935402406,0.56,0.52,0.4999996941677892,0.4333330749454132,0.2032480949571617,2.7241452947103415
13-2022,,,,,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.1155583020043852,0.10066557450829172
13-2023,1.3677048407107772,6.632295159289223,8.0,11.0,0.8413198245557758,0.4910714285714285,0.4642857142857142,0.377380756735679,0.3440474155729203,0.1155583020043852,1.4939965647331335
13-2031,1.8340807174887892,0.16591928251121077,2.0,3.0,1.502988,0.52,0.64,0.42307693,0.42307693,0.2340858486198604,2.8454672648521533
13-2041,0.3482142857142856,1.6517857142857144,2.0,2.5,1.3452679999999997,0.5555555555555556,0.5555555555555556,0.6363636299999998,0.4090909099999999,0.1616323362699461,2.7924052052049317
13-2051,3.1309774444737024,6.869022555526298,10.0,11.0,0.0,0.4615384615384615,0.5,0.0,0.0,0.2783547531305114,0.3124445097209995
13-2052,4.650628003652415,5.849371996347585,10.5,12.5,1.4007490000000002,0.5,0.6710526315789473,0.4761904800000001,0.35714287,0.3552253488700088,3.2152316669980623
13-2053,0.0,1.0,1.0,3.0,1.3266519999999995,0.5714285714285714,0.5,0.4999999999999999,0.4999999999999999,0.1609551764612808,2.634437198606982
13-2054,2.884622912697002,9.115377087302997,12.0,14.0,0.0,0.5333333333333333,0.5833333333333334,0.0,0.0,0.2411608238909524,0.49212398937481094
13-2061,1.070464504820333,0.929535495179667,2.0,3.0,1.526064,0.5,0.5757575757575758,0.47058824,0.41176471,0.1423540350825399,2.4274257845943206
13-2071,5.712157876604102,5.287842123395898,11.0,12.0,1.3838057919744946,0.625,0.6931818181818182,0.4125738306814107,0.4125738306814107,0.2885017178636657,3.258314798997291
13-2072,3.290657046500459,11.209342953499542,14.5,18.0,1.385739,0.5909090909090909,0.6477272727272727,0.43333334,0.38333333,0.2470758453421993,2.9318920346810184
13-2081,1.7830886850152907,0.7169113149847095,2.5,4.0,1.36682,0.5806451612903225,0.6774193548387096,0.4400000000000001,0.18000001,0.3399250265932537,2.8759267463503724
13-2082,3.163070607553366,0.8369293924466337,4.0,4.0,1.29371,0.625,0.625,0.5833333100000001,0.5833333100000001,0.3116015023266654,3.84146970996854
13-2099,2.749611866429726,7.750388133570274,10.5,16.0,1.3608710552953294,0.5832309582309583,0.5924447174447174,0.503756226065202,0.4542967289593581,0.2494183004918407,3.082500230403515
