category,value,country_code,substitution,metric
China,8.31289953990875,chn,presub,rate
China,6.83841216199239,chn,postsub,rate
China,13.3808291343845,chn,presub,import_share
China,11.9731231263809,chn,postsub,import_share
China,1.11233488354822,chn,presub,contribution
China,0.818771508044752,chn,postsub,contribution
Canada,5.75238919824297,ca,presub,rate
Canada,4.08696026639274,ca,postsub,rate
Canada,12.5638177399534,ca,presub,import_share
Canada,13.563762272874,ca,postsub,import_share
Canada,0.722719694560015,ca,presub,contribution
Canada,0.554345574720331,ca,postsub,contribution
Mexico,10.1664067358074,mx,presub,rate
Mexico,9.23096306749421,mx,postsub,rate
Mexico,15.7378472382499,mx,presub,import_share
Mexico,15.740967640542399,mx,postsub,import_share
Mexico,1.59997356170051,mx,presub,contribution
Mexico,1.45304290936469,mx,postsub,contribution
Rest of World,5.63174064538255,row,presub,rate
Rest of World,4.6392444857307,row,postsub,rate
Rest of World,58.3175058874122,row,presub,import_share
Rest of World,58.72214696020271,row,postsub,import_share
Rest of World,3.28429068243476,row,presub,contribution
Rest of World,2.72426396475388,row,postsub,contribution
Total,6.7193188222435,total,presub,rate
Total,5.55042395688365,total,postsub,rate
Total,100,total,presub,import_share
Total,100,total,postsub,import_share
Total,6.7193188222435,total,presub,contribution
Total,5.55042395688365,total,postsub,contribution
